rowType,code,name,parentCode,unit,priceA,priceB,directoryCategory,navigation,branch,operation,patientOrToothCondition,quantityRule,exclusion,priceEvidenceLevel,clinicalEvidenceLevel,hospitalConfirmation,clinicalStatus,sourcePage
"main","013105010240000","牙周冲洗上药费","","牙","8","8","牙周","牙周基础治疗","","","{}","按牙及实际实施数量","013105010260000 / 013105010290000","A","C","是","仅目录；临床规则未审，不可开单","8"
"main","013105010250000","牙周塞治费","","牙","10","10","牙周","牙周基础治疗","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","8"
"main","013105010260000","龈上洁治费","","牙","6","6","牙周","牙周基础治疗","","","{}","按牙及实际实施数量","013105010240000","A","C","是","仅目录；临床规则未审，不可开单","8"
"main","013105010270000","牙面抛光费","","牙","3","3","牙周","牙周基础治疗","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","8"
"main","013105010280000","牙面喷砂费","","牙","3","3","牙周","牙周基础治疗","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","8"
"main","013105010290000","龈下刮治费","","牙","12","12","牙周","牙周基础治疗","","","{}","按牙及实际实施数量","013105010240000","A","C","是","仅目录；临床规则未审，不可开单","8"
"main","013105010300000","松牙固定费","","牙","50","50","牙周","牙周基础治疗","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","8"
"main","013105010310000","松牙固定拆除费","","牙","4.5","4.5","牙周","牙周基础治疗","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","8"
"main","013105010320000","调合治疗费","","次","20","20","牙周","咬合与口腔功能治疗","","","{}","按次及实际实施数量","013105010120000 / 013105170060000","A","C","是","仅目录；临床规则未审，不可开单","8"
"main","013105010330000","牙根牵引费","","牙","250","250","牙周","咬合与口腔功能治疗","","","{""limit"":""未成年人""}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","9"
"main","013105010340000","唾液腺药物灌注费","","腺体·单侧","20","20","牙周","黏膜与唾液腺治疗","","","{}","按腺体·单侧及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","9"
"main","013105010350000","口腔黏膜病局部药物治疗费","","病灶","22","22","牙周","黏膜与唾液腺治疗","","","{}","按病灶及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","9"
"main","013105020010000","乳牙期错合矫治费（常规）","","疗程","2800","2800","正畸","正畸治疗","","","{}","按疗程及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","9"
"main","013105020020000","乳牙期错合矫治费（复杂）","","疗程","4000","4000","正畸","正畸治疗","","","{}","按疗程及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","9"
"main","013105020030000","替牙期 I 类错合矫治费（常规）","","疗程","6000","6000","正畸","正畸治疗","","","{}","按疗程及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","9"
"main","013105020040000","替牙期 I 类错合矫治费（复杂）","","疗程","8500","8500","正畸","正畸治疗","","","{}","按疗程及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","9"
"main","013105020050000","替牙期 II 类错合矫治费（常规）","","疗程","7000","7000","正畸","正畸治疗","","","{}","按疗程及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","9"
"main","013105020060000","替牙期 II 类错合矫治费（复杂）","","疗程","10000","10000","正畸","正畸治疗","","","{}","按疗程及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","9"
"main","013105020070000","替牙期 III 类错合矫治费（常规）","","疗程","8000","8000","正畸","正畸治疗","","","{}","按疗程及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","9"
"main","013105020080000","替牙期 III 类错合矫治费（复杂）","","疗程","12000","12000","正畸","正畸治疗","","","{}","按疗程及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","10"
